"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-26","32","20","22"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-27","32","10","26"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-28","48","28","43"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-29","44","36","36"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-30","36","24","30"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-31","38","25","36"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-01","40","18","18"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-02","42","14","36"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-03","45","31","32"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-04","34","10","25"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-05","54","12","45"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-06","53","42","48"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-07","55","32","47"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-08","60","36","48"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-09","54","48","52"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-10","52","44","45"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-11","46","30","38"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-12","38","29","32"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-13","48","32","42"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-14","42","20","24"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-15","40","20","34"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-16","36","20","32"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-17","55","32","38"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-18","38","22","31"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-19","36","26","32"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-20","46","32","44"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-21","56","30","30"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-22","30","19","26"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-23","26","16","16"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-24","16","0","14"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-25","23","3","23"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-26","26","22","22"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-27","22","10","14"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-28","35","-2","31"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-29","32","26","26"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-30","30","12","24"
"USC00335747","NEWARK WATER WORKS, OH US","1935-01-31","35","10","32"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-01","42","21","37"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-02","38","28","35"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-03","36","34","34"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-04","36","23","30"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-05","36","27","34"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-06","34","9","28"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-07","41","4","36"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-08","43","30","42"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-09","44","34","40"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-10","40","26","29"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-11","32","28","30"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-12","48","18","43"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-13","48","22","46"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-14","52","46","50"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-15","55","42","46"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-16","46","34","38"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-17","38","26","28"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-18","42","28","40"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-19","50","31","35"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-20","35","25","25"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-21","34","15","34"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-22","42","31","33"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-23","33","20","27"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-24","48","22","46"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-25","50","34","48"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-26","48","18","18"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-27","20","8","18"
"USC00335747","NEWARK WATER WORKS, OH US","1935-02-28","36","16","34"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-01","52","28","49"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-02","60","42","58"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-03","60","34","48"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-04","67","34","67"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-05","69","55","65"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-06","65","42","58"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-07","58","38","39"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-08","39","26","37"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-09","48","20","48"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-10","48","35","48"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-11","54","48","52"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-12","53","28","28"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-13","42","24","37"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-14","54","30","38"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-15","72","32","69"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-16","72","58","65"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-17","65","30","30"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-18","49","19","48"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-19","50","39","50"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-20","64","46","62"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-21","66","55","62"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-22","66","34","64"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-23","65","55","64"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-24","64","38","58"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-25","58","44","56"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-26","58","32","56"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-27","72","30","70"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-28","73","39","51"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-29","62","31","58"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-30","58","39","56"
"USC00335747","NEWARK WATER WORKS, OH US","1935-03-31","56","45","48"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-01","55","44","49"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-02","57","48","48"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-03","53","33","43"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-04","61","32","57"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-05","57","38","45"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-06","48","36","48"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-07","48","39","40"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-08","41","36","40"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-09","45","36","44"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-10","54","39","52"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-11","54","41","50"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-12","53","46","50"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-13","50","38","40"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-14","60","28","56"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-15","58","32","34"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-16","36","20","35"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-17","41","31","40"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-18","58","28","52"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-19","68","34","62"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-20","70","40","63"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-21","68","39","55"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-22","58","31","54"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-23","67","37","61"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-24","68","39","59"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-25","74","33","70"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-26","83","34","78"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-27","78","44","61"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-28","74","50","73"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-29","74","48","62"
"USC00335747","NEWARK WATER WORKS, OH US","1935-04-30","62","46","54"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-01","54","29","52"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-02","78","43","50"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-03","75","47","72"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-04","72","38","44"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-05","53","42","50"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-06","51","44","50"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-07","58","46","52"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-08","69","35","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-09","81","44","66"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-10","69","51","66"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-11","72","37","70"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-12","72","44","63"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-13","74","55","72"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-14","72","52","52"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-15","63","41","58"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-16","76","45","52"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-17","69","42","64"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-18","67","34","59"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-19","70","35","62"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-20","62","46","57"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-21","72","48","67"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-22","72","40","58"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-23","77","39","58"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-24","66","35","65"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-25","72","35","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-26","78","40","75"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-27","79","44","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-28","84","58","82"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-29","82","62","67"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-30","82","49","77"
"USC00335747","NEWARK WATER WORKS, OH US","1935-05-31","81","59","73"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-01","78","45","76"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-02","85","49","79"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-03","80","65","65"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-04","75","62","63"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-05","70","52","57"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-06","77","41","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-07","75","55","56"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-08","64","45","63"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-09","70","42","65"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-10","72","42","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-11","75","56","72"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-12","80","50","76"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-13","88","48","85"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-14","86","54","79"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-15","86","52","78"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-16","86","70","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-17","79","70","76"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-18","82","70","70"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-19","70","60","60"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-20","81","55","71"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-21","72","60","65"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-22","70","59","64"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-23","71","51","66"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-24","78","50","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-25","82","48","77"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-26","87","56","85"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-27","88","69","84"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-28","89","59","88"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-29","91","59","85"
"USC00335747","NEWARK WATER WORKS, OH US","1935-06-30","86","64","82"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-01","88","62","84"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-02","88","58","86"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-03","90","64","72"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-04","85","56","85"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-05","87","68","82"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-06","90","66","86"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-07","93","64","81"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-08","82","67","70"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-09","84","66","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-10","90","62","78"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-11","92","61","91"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-12","93","66","84"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-13","85","66","76"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-14","89","58","83"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-15","88","60","70"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-16","82","57","80"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-17","89","54","87"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-18","94","64","88"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-19","94","69","75"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-20","91","64","82"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-21","83","68","76"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-22","87","72","82"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-23","85","72","78"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-24","87","71","71"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-25","82","71","76"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-26","87","69","80"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-27","88","64","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-28","82","64","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-29","82","64","78"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-30","84","54","82"
"USC00335747","NEWARK WATER WORKS, OH US","1935-07-31","89","55","84"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-01","92","64","88"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-02","94","70","86"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-03","88","70","71"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-04","87","70","80"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-05","88","62","80"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-06","90","66","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-07","83","67","73"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-08","82","69","82"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-09","88","62","80"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-10","81","64","64"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-11","90","58","75"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-12","94","64","90"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-13","90","69","79"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-14","84","68","79"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-15","92","70","83"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-16","83","69","77"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-17","77","71","72"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-18","85","70","78"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-19","84","68","82"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-20","85","68","82"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-21","84","70","76"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-22","81","54","75"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-23","77","55","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-24","76","52","75"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-25","84","52","66"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-26","84","57","75"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-27","79","66","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-28","72","50","58"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-29","73","46","63"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-30","67","53","61"
"USC00335747","NEWARK WATER WORKS, OH US","1935-08-31","70","40","58"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-01","74","46","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-02","72","55","65"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-03","72","60","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-04","74","62","70"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-05","80","45","71"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-06","75","47","70"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-07","78","46","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-08","83","50","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-09","68","58","59"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-10","73","43","67"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-11","78","40","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-12","82","42","75"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-13","81","46","76"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-14","84","50","79"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-15","80","60","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-16","76","47","64"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-17","86","50","76"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-18","90","58","76"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-19","88","59","81"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-20","83","59","79"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-21","82","62","72"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-22","78","54","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-23","75","46","70"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-24","82","40","78"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-25","86","45","80"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-26","88","59","70"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-27","73","54","55"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-28","68","51","60"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-29","62","42","47"
"USC00335747","NEWARK WATER WORKS, OH US","1935-09-30","68","30","61"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-01","60","47","47"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-02","63","40","52"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-03","77","47","51"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-04","54","29","45"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-05","47","27","43"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-06","53","32","45"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-07","57","24","50"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-08","62","28","52"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-09","73","29","54"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-10","77","35","62"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-11","65","46","47"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-12","66","32","63"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-13","82","42","70"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-14","80","48","76"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-15","76","50","62"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-16","70","40","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-17","80","39","74"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-18","75","59","63"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-19","70","34","66"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-20","75","48","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-21","75","53","63"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-22","80","60","68"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-23","68","44","44"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-24","62","27","50"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-25","63","27","55"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-26","63","31","57"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-27","74","40","58"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-28","72","40","60"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-29","60","54","54"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-30","68","50","56"
"USC00335747","NEWARK WATER WORKS, OH US","1935-10-31","72","38","65"
"USC00335747","NEWARK WATER WORKS, OH US","1935-11-01","78","48","62"
